iter	Passed	Remaining
0	2	254
1	4	235
2	6	221
3	8	207
4	10	207
5	12	202
6	14	197
7	16	194
8	19	193
9	21	191
10	23	188
11	25	184
12	27	180
13	28	177
14	30	173
15	32	170
16	34	168
17	36	167
18	38	164
19	40	161
20	42	159
21	44	156
22	45	153
23	47	151
24	49	149
25	51	147
26	53	145
27	55	143
28	57	141
29	59	139
30	62	138
31	64	137
32	66	135
33	68	133
34	70	131
35	72	128
36	74	126
37	76	125
38	78	123
39	80	121
40	82	119
41	83	115
42	85	113
43	87	111
44	89	109
45	91	107
46	93	105
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	108	88
55	110	86
56	112	84
57	114	82
58	116	80
59	118	78
60	120	77
61	122	75
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	146	51
74	147	49
75	149	47
76	151	45
77	153	43
78	155	41
79	157	39
80	159	37
81	161	35
82	163	33
83	165	31
84	167	29
85	169	27
86	170	25
87	172	23
88	174	21
89	176	19
90	178	17
91	180	15
92	182	13
93	184	11
94	186	9
95	188	7
96	190	5
97	192	3
98	194	1
99	196	0
